"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"336"," 0.06440","0.0670","3.31e-02","17565","0.1050","0.115","0.140"
"337"," 0.06390","0.0662","4.12e-02","21884","0.1050","0.110","0.140"
"338"," 0.06430","0.0663","5.40e-02","28692","0.1050","0.105","0.140"
"339"," 0.06440","0.0663","5.84e-02","31007","0.1050","0.100","0.140"
"340"," 0.06290","0.0646","7.01e-02","37230","0.1050","0.095","0.140"
"341"," 0.06190","0.0633","8.79e-02","46653","0.1050","0.090","0.140"
"343"," 0.05260","0.0596","5.88e-03"," 3123","0.1075","0.135","0.140"
"344"," 0.05800","0.0629","1.10e-02"," 5818","0.1075","0.130","0.140"
"345"," 0.06140","0.0650","2.03e-02","10770","0.1075","0.125","0.140"
"346"," 0.06300","0.0660","2.58e-02","13692","0.1075","0.120","0.140"
"347"," 0.06400","0.0665","3.55e-02","18855","0.1075","0.115","0.140"
"348"," 0.06310","0.0653","4.42e-02","23449","0.1075","0.110","0.140"
"349"," 0.06350","0.0654","5.79e-02","30762","0.1075","0.105","0.140"
"350"," 0.06370","0.0655","6.25e-02","33207","0.1075","0.100","0.140"
"351"," 0.06220","0.0638","7.50e-02","39823","0.1075","0.095","0.140"
"352"," 0.06120","0.0625","9.37e-02","49757","0.1075","0.090","0.140"
"354"," 0.05140","0.0582","6.37e-03"," 3380","0.1100","0.135","0.140"
"355"," 0.05770","0.0625","1.18e-02"," 6253","0.1100","0.130","0.140"
"356"," 0.06140","0.0648","2.17e-02","11520","0.1100","0.125","0.140"
"357"," 0.06280","0.0658","2.76e-02","14629","0.1100","0.120","0.140"
"358"," 0.06360","0.0660","3.79e-02","20120","0.1100","0.115","0.140"
"359"," 0.06230","0.0645","4.71e-02","25023","0.1100","0.110","0.140"
"360"," 0.06280","0.0646","6.17e-02","32787","0.1100","0.105","0.140"
"361"," 0.06300","0.0647","6.66e-02","35376","0.1100","0.100","0.140"
"362"," 0.06160","0.0632","7.98e-02","42372","0.1100","0.095","0.140"
"363"," 0.06060","0.0619","9.96e-02","52865","0.1100","0.090","0.140"
"364","-0.13200","0.0143","2.64e-05","   14","0.0300","0.140","0.145"
"365"," 0.02570","0.0780","1.07e-04","   57","0.0300","0.135","0.145"
"366"," 0.02880","0.0700","1.81e-04","   96","0.0300","0.130","0.145"
"367"," 0.04460","0.0753","2.99e-04","  159","0.0300","0.125","0.145"
"368"," 0.05060","0.0776","3.58e-04","  190","0.0300","0.120","0.145"
"369"," 0.06860","0.0890","5.01e-04","  266","0.0300","0.115","0.145"
"370"," 0.07150","0.0885","6.44e-04","  342","0.0300","0.110","0.145"
"371"," 0.06610","0.0813","8.55e-04","  454","0.0300","0.105","0.145"
"372"," 0.06910","0.0831","9.47e-04","  503","0.0300","0.100","0.145"
"373"," 0.06570","0.0780","1.20e-03","  638","0.0300","0.095","0.145"
"374"," 0.06480","0.0751","1.56e-03","  827","0.0300","0.090","0.145"
"375","-0.04310","0.0578","3.96e-05","   21","0.0325","0.140","0.145"
"376"," 0.02810","0.0735","1.49e-04","   79","0.0325","0.135","0.145"
"377"," 0.02740","0.0647","2.37e-04","  126","0.0325","0.130","0.145"
