"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"280"," 0.06790","0.0712","1.77e-02","11550","0.0925","0.120","0.140"
"281"," 0.06780","0.0707","2.22e-02","14475","0.0925","0.115","0.140"
"282"," 0.06910","0.0713","3.55e-02","23200","0.0925","0.110","0.140"
"283"," 0.06860","0.0705","4.30e-02","28052","0.0925","0.105","0.140"
"284"," 0.06860","0.0704","4.81e-02","31420","0.0925","0.100","0.140"
"285"," 0.06700","0.0687","5.50e-02","35929","0.0925","0.095","0.140"
"286"," 0.06570","0.0672","6.51e-02","42525","0.0925","0.090","0.140"
"288"," 0.05700","0.0642","4.49e-03"," 2929","0.0950","0.135","0.140"
"289"," 0.06440","0.0693","8.92e-03"," 5827","0.0950","0.130","0.140"
"290"," 0.06770","0.0711","1.68e-02","10960","0.0950","0.125","0.140"
"291"," 0.06720","0.0704","1.93e-02","12587","0.0950","0.120","0.140"
"292"," 0.06690","0.0697","2.42e-02","15769","0.0950","0.115","0.140"
"293"," 0.06780","0.0699","3.86e-02","25175","0.0950","0.110","0.140"
"294"," 0.06740","0.0692","4.66e-02","30416","0.0950","0.105","0.140"
"295"," 0.06760","0.0693","5.21e-02","34023","0.0950","0.100","0.140"
"296"," 0.06610","0.0677","5.96e-02","38888","0.0950","0.095","0.140"
"297"," 0.06480","0.0662","7.04e-02","45953","0.0950","0.090","0.140"
"299"," 0.05640","0.0633","4.90e-03"," 3198","0.0975","0.135","0.140"
"300"," 0.06360","0.0683","9.72e-03"," 6348","0.0975","0.130","0.140"
"301"," 0.06700","0.0703","1.82e-02","11877","0.0975","0.125","0.140"
"302"," 0.06660","0.0696","2.09e-02","13650","0.0975","0.120","0.140"
"303"," 0.06630","0.0690","2.62e-02","17110","0.0975","0.115","0.140"
"304"," 0.06750","0.0695","4.17e-02","27227","0.0975","0.110","0.140"
"305"," 0.06710","0.0689","5.03e-02","32868","0.0975","0.105","0.140"
"306"," 0.06730","0.0690","5.63e-02","36742","0.0975","0.100","0.140"
"307"," 0.06580","0.0674","6.43e-02","41993","0.0975","0.095","0.140"
"308"," 0.06440","0.0658","7.59e-02","49561","0.0975","0.090","0.140"
"310"," 0.05580","0.0624","5.31e-03"," 3467","0.1000","0.135","0.140"
"311"," 0.06300","0.0676","1.05e-02"," 6844","0.1000","0.130","0.140"
"312"," 0.06540","0.0685","1.96e-02","12803","0.1000","0.125","0.140"
"313"," 0.06490","0.0679","2.25e-02","14717","0.1000","0.120","0.140"
"314"," 0.06510","0.0677","2.83e-02","18452","0.1000","0.115","0.140"
"315"," 0.06620","0.0682","4.48e-02","29264","0.1000","0.110","0.140"
"316"," 0.06600","0.0678","5.42e-02","35359","0.1000","0.105","0.140"
"317"," 0.06650","0.0681","6.05e-02","39471","0.1000","0.100","0.140"
"318"," 0.06510","0.0666","6.91e-02","45089","0.1000","0.095","0.140"
"319"," 0.06380","0.0651","8.14e-02","53131","0.1000","0.090","0.140"
"321"," 0.05560","0.0619","5.79e-03"," 3782","0.1025","0.135","0.140"
"322"," 0.06250","0.0669","1.14e-02"," 7414","0.1025","0.130","0.140"
"323"," 0.06410","0.0672","2.12e-02","13815","0.1025","0.125","0.140"
"324"," 0.06390","0.0668","2.43e-02","15880","0.1025","0.120","0.140"
"325"," 0.06440","0.0669","3.05e-02","19913","0.1025","0.115","0.140"
"326"," 0.06550","0.0674","4.82e-02","31498","0.1025","0.110","0.140"
"327"," 0.06550","0.0672","5.82e-02","38014","0.1025","0.105","0.140"
"328"," 0.06600","0.0676","6.49e-02","42362","0.1025","0.100","0.140"
"329"," 0.06470","0.0661","7.41e-02","48357","0.1025","0.095","0.140"
"330"," 0.06340","0.0647","8.72e-02","56917","0.1025","0.090","0.140"
"332"," 0.05550","0.0617","6.22e-03"," 4058","0.1050","0.135","0.140"
"333"," 0.06110","0.0653","1.22e-02"," 7970","0.1050","0.130","0.140"
"334"," 0.06320","0.0662","2.27e-02","14840","0.1050","0.125","0.140"
"335"," 0.06310","0.0658","2.61e-02","17059","0.1050","0.120","0.140"
"336"," 0.06350","0.0659","3.28e-02","21411","0.1050","0.115","0.140"
"337"," 0.06440","0.0663","5.17e-02","33789","0.1050","0.110","0.140"
"338"," 0.06450","0.0662","6.25e-02","40781","0.1050","0.105","0.140"
"339"," 0.06500","0.0665","6.95e-02","45390","0.1050","0.100","0.140"
"340"," 0.06370","0.0651","7.93e-02","51781","0.1050","0.095","0.140"
"341"," 0.06260","0.0638","9.32e-02","60881","0.1050","0.090","0.140"
"343"," 0.05460","0.0605","6.68e-03"," 4364","0.1075","0.135","0.140"
"344"," 0.06020","0.0642","1.31e-02"," 8562","0.1075","0.130","0.140"
"345"," 0.06230","0.0652","2.44e-02","15959","0.1075","0.125","0.140"
"346"," 0.06240","0.0651","2.81e-02","18317","0.1075","0.120","0.140"
"347"," 0.06290","0.0653","3.52e-02","23000","0.1075","0.115","0.140"
"348"," 0.06380","0.0656","5.55e-02","36224","0.1075","0.110","0.140"
"349"," 0.06380","0.0654","6.69e-02","43674","0.1075","0.105","0.140"
"350"," 0.06430","0.0658","7.44e-02","48550","0.1075","0.100","0.140"
"351"," 0.06320","0.0646","8.48e-02","55339","0.1075","0.095","0.140"
"352"," 0.06220","0.0634","9.94e-02","64929","0.1075","0.090","0.140"
"354"," 0.05470","0.0605","7.16e-03"," 4677","0.1100","0.135","0.140"
"355"," 0.06010","0.0640","1.40e-02"," 9167","0.1100","0.130","0.140"
"356"," 0.06190","0.0647","2.61e-02","17066","0.1100","0.125","0.140"
"357"," 0.06220","0.0648","3.00e-02","19586","0.1100","0.120","0.140"
"358"," 0.06230","0.0646","3.77e-02","24588","0.1100","0.115","0.140"
"359"," 0.06340","0.0652","5.92e-02","38653","0.1100","0.110","0.140"
"360"," 0.06330","0.0649","7.13e-02","46563","0.1100","0.105","0.140"
"361"," 0.06370","0.0652","7.92e-02","51695","0.1100","0.100","0.140"
"362"," 0.06270","0.0640","9.01e-02","58855","0.1100","0.095","0.140"
"363"," 0.06160","0.0628","1.06e-01","69009","0.1100","0.090","0.140"
"364","-0.04240","0.0758","2.14e-05","   14","0.0300","0.140","0.145"
"365"," 0.03720","0.0849","9.96e-05","   65","0.0300","0.135","0.145"
"366"," 0.03830","0.0755","1.81e-04","  118","0.0300","0.130","0.145"
"367"," 0.05110","0.0768","3.34e-04","  218","0.0300","0.125","0.145"
"368"," 0.05030","0.0746","3.68e-04","  240","0.0300","0.120","0.145"
"369"," 0.05440","0.0758","4.47e-04","  292","0.0300","0.115","0.145"
"370"," 0.07150","0.0857","7.89e-04","  515","0.0300","0.110","0.145"
"371"," 0.07170","0.0844","9.59e-04","  626","0.0300","0.105","0.145"
"372"," 0.07430","0.0855","1.14e-03","  742","0.0300","0.100","0.145"
"373"," 0.07090","0.0812","1.32e-03","  864","0.0300","0.095","0.145"
"374"," 0.06890","0.0780","1.62e-03"," 1061","0.0300","0.090","0.145"
"375","-0.04950","0.0546","3.37e-05","   22","0.0325","0.140","0.145"
"376"," 0.04460","0.0846","1.39e-04","   91","0.0325","0.135","0.145"
"377"," 0.03800","0.0697","2.59e-04","  169","0.0325","0.130","0.145"
"378"," 0.04910","0.0719","4.47e-04","  292","0.0325","0.125","0.145"
