"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"280"," 0.06680"," 0.07060","1.60e-02"," 8488","0.0925","0.120","0.140"
"281"," 0.06820"," 0.07130","2.21e-02","11753","0.0925","0.115","0.140"
"282"," 0.06800"," 0.07070","2.78e-02","14741","0.0925","0.110","0.140"
"283"," 0.06740"," 0.06970","3.68e-02","19536","0.0925","0.105","0.140"
"284"," 0.06740"," 0.06960","4.00e-02","21231","0.0925","0.100","0.140"
"285"," 0.06580"," 0.06780","4.83e-02","25664","0.0925","0.095","0.140"
"286"," 0.06470"," 0.06640","6.12e-02","32519","0.0925","0.090","0.140"
"288"," 0.05510"," 0.06370","3.89e-03"," 2065","0.0950","0.135","0.140"
"289"," 0.05900"," 0.06510","7.22e-03"," 3836","0.0950","0.130","0.140"
"290"," 0.06540"," 0.06960","1.37e-02"," 7249","0.0950","0.125","0.140"
"291"," 0.06620"," 0.06980","1.74e-02"," 9227","0.0950","0.120","0.140"
"292"," 0.06720"," 0.07020","2.40e-02","12763","0.0950","0.115","0.140"
"293"," 0.06720"," 0.06980","3.01e-02","15996","0.0950","0.110","0.140"
"294"," 0.06680"," 0.06900","3.99e-02","21163","0.0950","0.105","0.140"
"295"," 0.06680"," 0.06890","4.33e-02","22991","0.0950","0.100","0.140"
"296"," 0.06530"," 0.06720","5.23e-02","27748","0.0950","0.095","0.140"
"297"," 0.06420"," 0.06580","6.61e-02","35100","0.0950","0.090","0.140"
"299"," 0.05660"," 0.06470","4.27e-03"," 2269","0.0975","0.135","0.140"
"300"," 0.05860"," 0.06440","7.90e-03"," 4193","0.0975","0.130","0.140"
"301"," 0.06480"," 0.06880","1.48e-02"," 7876","0.0975","0.125","0.140"
"302"," 0.06570"," 0.06920","1.89e-02","10029","0.0975","0.120","0.140"
"303"," 0.06660"," 0.06950","2.61e-02","13835","0.0975","0.115","0.140"
"304"," 0.06650"," 0.06910","3.26e-02","17292","0.0975","0.110","0.140"
"305"," 0.06590"," 0.06810","4.31e-02","22875","0.0975","0.105","0.140"
"306"," 0.06590"," 0.06790","4.68e-02","24827","0.0975","0.100","0.140"
"307"," 0.06450"," 0.06630","5.64e-02","29921","0.0975","0.095","0.140"
"308"," 0.06340"," 0.06500","7.12e-02","37795","0.0975","0.090","0.140"
"310"," 0.05470"," 0.06260","4.66e-03"," 2473","0.1000","0.135","0.140"
"311"," 0.05840"," 0.06400","8.58e-03"," 4556","0.1000","0.130","0.140"
"312"," 0.06400"," 0.06790","1.60e-02"," 8520","0.1000","0.125","0.140"
"313"," 0.06520"," 0.06860","2.04e-02","10841","0.1000","0.120","0.140"
"314"," 0.06600"," 0.06870","2.82e-02","14948","0.1000","0.115","0.140"
"315"," 0.06550"," 0.06790","3.51e-02","18651","0.1000","0.110","0.140"
"316"," 0.06490"," 0.06700","4.64e-02","24638","0.1000","0.105","0.140"
"317"," 0.06490"," 0.06690","5.04e-02","26739","0.1000","0.100","0.140"
"318"," 0.06370"," 0.06550","6.06e-02","32189","0.1000","0.095","0.140"
"319"," 0.06250"," 0.06400","7.64e-02","40546","0.1000","0.090","0.140"
"321"," 0.05380"," 0.06130","5.02e-03"," 2666","0.1025","0.135","0.140"
"322"," 0.05750"," 0.06290","9.28e-03"," 4926","0.1025","0.130","0.140"
"323"," 0.06280"," 0.06650","1.73e-02"," 9193","0.1025","0.125","0.140"
"324"," 0.06400"," 0.06730","2.20e-02","11693","0.1025","0.120","0.140"
"325"," 0.06510"," 0.06780","3.04e-02","16143","0.1025","0.115","0.140"
"326"," 0.06430"," 0.06670","3.79e-02","20138","0.1025","0.110","0.140"
"327"," 0.06380"," 0.06580","5.00e-02","26568","0.1025","0.105","0.140"
"328"," 0.06370"," 0.06570","5.42e-02","28804","0.1025","0.100","0.140"
"329"," 0.06290"," 0.06460","6.52e-02","34637","0.1025","0.095","0.140"
"330"," 0.06170"," 0.06320","8.20e-02","43529","0.1025","0.090","0.140"
"332"," 0.05370"," 0.06100","5.39e-03"," 2864","0.1050","0.135","0.140"
"333"," 0.05730"," 0.06240","9.97e-03"," 5293","0.1050","0.130","0.140"
"334"," 0.06200"," 0.06570","1.87e-02"," 9906","0.1050","0.125","0.140"
"335"," 0.06340"," 0.06660","2.37e-02","12605","0.1050","0.120","0.140"
"336"," 0.06430"," 0.06700","3.28e-02","17409","0.1050","0.115","0.140"
"337"," 0.06370"," 0.06600","4.08e-02","21682","0.1050","0.110","0.140"
"338"," 0.06330"," 0.06530","5.38e-02","28555","0.1050","0.105","0.140"
"339"," 0.06330"," 0.06520","5.82e-02","30914","0.1050","0.100","0.140"
"340"," 0.06240"," 0.06410","6.99e-02","37126","0.1050","0.095","0.140"
"341"," 0.06130"," 0.06270","8.77e-02","46554","0.1050","0.090","0.140"
"343"," 0.05210"," 0.05920","5.82e-03"," 3089","0.1075","0.135","0.140"
"344"," 0.05610"," 0.06110","1.07e-02"," 5683","0.1075","0.130","0.140"
"345"," 0.06090"," 0.06450","2.00e-02","10618","0.1075","0.125","0.140"
"346"," 0.06250"," 0.06560","2.55e-02","13523","0.1075","0.120","0.140"
"347"," 0.06350"," 0.06610","3.52e-02","18685","0.1075","0.115","0.140"
"348"," 0.06270"," 0.06490","4.38e-02","23281","0.1075","0.110","0.140"
"349"," 0.06250"," 0.06440","5.76e-02","30597","0.1075","0.105","0.140"
"350"," 0.06260"," 0.06440","6.23e-02","33102","0.1075","0.100","0.140"
